,name,married,divorced,separated,annulled
299,Kirsten_Dunst,0,0,0,0
300,José_Ferrer,5,4,0,0
301,Broderick_Crawford,3,2,0,0
302,Ronald_Colman,2,1,0,0
303,Fredric_March,2,1,0,0
304,Ray_Milland,1,0,0,0
305,Bing_Crosby,2,0,0,0
306,Paul_Lukas,2,0,0,0
307,Robert_Donat,2,1,0,0
308,Paul_Muni,1,0,0,0
309,Victor_McLaglen,3,1,0,0
310,Charles_Laughton,1,0,0,0
311,Wallace_Beery,2,2,0,0
312,Lionel_Barrymore,2,1,0,0
313,Jeff_Goldblum,3,2,0,0
314,Chris_Hemsworth,1,0,0,0
315,Warner_Baxter,2,1,0,0
316,Emil_Jannings,3,2,0,0
317,Chris_Cooper,1,0,0,0
318,Jim_Broadbent,1,0,0,0
319,James_Coburn,2,1,0,0
320,Cuba_Gooding_Jr.,0,0,0,0
321,Martin_Landau,1,1,0,0
322,Jack_Palance,2,1,0,0
323,Kevin_Kline,1,0,0,0
324,Don_Ameche,1,0,0,0
325,Kate_Beckinsale,1,1,0,0
326,Zooey_Deschanel,2,2,0,0
327,Michelle_Williams,0,0,0,0
328,Milla_Jovovich,3,1,0,1
329,Selena_Gomez,0,0,0,0
330,Rachel_Weisz,1,0,0,0
331,Kristen_Bell,1,0,0,0
332,Katherine_Heigl,1,0,0,0
333,Liv_Tyler,1,1,0,0
334,Jessica_Chastain,1,0,0,0
335,Megan_Fox,1,1,0,0
336,Betty_White,3,2,0,0
337,Geraldine_Page,2,1,0,0
338,Eliza_Dushku,1,0,0,0
339,Robin_Wright,3,2,0,0
340,Leighton_Meester,1,0,0,0
341,Jennifer_Jones,3,1,0,0
342,Shirley_Temple,2,1,0,0
343,Julia_Louis-Dreyfus,1,0,0,0
344,Olivia_Thirlby,1,0,0,0
345,Cher,2,2,0,0
346,Sissy_Spacek,1,0,0,0
347,Louise_Fletcher,1,1,0,0
348,Julie_Christie,0,0,0,0
349,Patricia_Neal,1,1,0,0
350,Haing_S._Ngor,0,0,0,0
351,Louis_Gossett_Jr.,3,2,0,1
352,John_Gielgud,0,0,0,0
353,Timothy_Hutton,2,1,1,0
354,Melvyn_Douglas,2,1,0,0
355,Jason_Robards,4,3,0,0
356,George_Burns,1,0,0,0
357,Christian_Bale,1,0,0,0
358,Ethan_Hawke,2,1,0,0
359,Ben_Johnson,0,0,0,0
360,John_Mills,2,1,0,0
361,Jack_Albertson,1,0,0,0
362,Sean_Penn,3,2,1,0
363,George_Kennedy,4,3,0,0
364,Walter_Matthau,2,1,0,0
365,Martin_Balsam,3,3,0,0
366,Peter_Ustinov,3,2,0,0
367,Ed_Begley,3,1,0,0
368,George_Chakiris,0,0,0,0
369,Hugh_Griffith,1,0,0,0
370,Burl_Ives,2,1,0,0
371,Red_Buttons,3,2,0,0
372,Edmond_O'Brien,2,2,0,0
373,Chris_Pratt,2,1,0,0
374,Frank_Sinatra,4,3,0,0
375,Anne_Bancroft,2,1,0,0
376,Kim_Novak,2,1,0,0
377,Simone_Signoret,2,1,0,0
378,Elliot_Page,1,1,0,0
379,Angela_Lansbury,2,1,0,0
380,Judy_Holliday,1,1,0,0
381,Loretta_Young,3,1,0,1
382,Shirley_Jones,2,1,0,0
383,Vera_Farmiga,2,1,0,0
384,Helen_Hayes,1,0,0,0
385,Marie_Dressler,2,1,0,0
386,Janet_Gaynor,3,1,0,0
387,Lupita_Nyong'o,0,0,0,0
388,Octavia_Spencer,0,0,0,0
389,Melissa_Leo,0,0,0,0
390,Mo'Nique,2,0,0,0
391,Marlee_Matlin,1,0,0,0
392,Tilda_Swinton,0,0,0,0
393,Jennifer_Hudson,0,0,0,0
394,Renée_Zellweger,1,0,0,1
