,rank,name,imdb_stub_link,imdb_full_link
19,620.,J.K. Simmons,/name/nm0799777,https://www.imdb.com/name/nm0799777
20,621.,Boris Karloff,/name/nm0000472,https://www.imdb.com/name/nm0000472
21,622.,Peter Lorre,/name/nm0000048,https://www.imdb.com/name/nm0000048
22,623.,Matthew McConaughey,/name/nm0000190,https://www.imdb.com/name/nm0000190
23,624.,Paddy Considine,/name/nm0175916,https://www.imdb.com/name/nm0175916
24,625.,Ryan Phillippe,/name/nm0000202,https://www.imdb.com/name/nm0000202
25,626.,Kerry Washington,/name/nm0913488,https://www.imdb.com/name/nm0913488
26,627.,Carrie-Anne Moss,/name/nm0005251,https://www.imdb.com/name/nm0005251
27,628.,Janet Leigh,/name/nm0001463,https://www.imdb.com/name/nm0001463
28,629.,Catalina Sandino Moreno,/name/nm1503432,https://www.imdb.com/name/nm1503432
29,630.,Samantha Morton,/name/nm0608090,https://www.imdb.com/name/nm0608090
30,631.,Keisha Castle-Hughes,/name/nm1095720,https://www.imdb.com/name/nm1095720
31,632.,Barbara Stanwyck,/name/nm0001766,https://www.imdb.com/name/nm0001766
32,633.,Joan Allen,/name/nm0000260,https://www.imdb.com/name/nm0000260
33,634.,Janet McTeer,/name/nm0005216,https://www.imdb.com/name/nm0005216
34,635.,Fernanda Montenegro,/name/nm0005244,https://www.imdb.com/name/nm0005244
35,636.,Kristin Scott Thomas,/name/nm0000218,https://www.imdb.com/name/nm0000218
36,637.,Brenda Blethyn,/name/nm0000950,https://www.imdb.com/name/nm0000950
37,638.,Elisabeth Shue,/name/nm0000223,https://www.imdb.com/name/nm0000223
38,639.,Miranda Richardson,/name/nm0001669,https://www.imdb.com/name/nm0001669
39,640.,Stockard Channing,/name/nm0000330,https://www.imdb.com/name/nm0000330
40,641.,Luise Rainer,/name/nm0707023,https://www.imdb.com/name/nm0707023
41,642.,Mary McDonnell,/name/nm0001521,https://www.imdb.com/name/nm0001521
42,643.,Lucille Ball,/name/nm0000840,https://www.imdb.com/name/nm0000840
43,644.,Laura Dern,/name/nm0000368,https://www.imdb.com/name/nm0000368
44,645.,Pauline Collins,/name/nm0172604,https://www.imdb.com/name/nm0172604
45,646.,Isabelle Adjani,/name/nm0000254,https://www.imdb.com/name/nm0000254
46,647.,Melanie Griffith,/name/nm0000429,https://www.imdb.com/name/nm0000429
47,648.,Sally Kirkland,/name/nm0000476,https://www.imdb.com/name/nm0000476
48,649.,Jane Alexander,/name/nm0000737,https://www.imdb.com/name/nm0000737
49,650.,Marsha Mason,/name/nm0556850,https://www.imdb.com/name/nm0556850
