,Unnamed: 0,rank,name,imdb_stub_link,imdb_full_link,wikipedia_url
416,16,417.,Hugh Jackman,/name/nm0413168,https://www.imdb.com/name/nm0413168,https://en.wikipedia.org/wiki/Hugh_Jackman
417,17,418.,Dwayne Johnson,/name/nm0425005,https://www.imdb.com/name/nm0425005,https://en.wikipedia.org/wiki/Dwayne_Johnson
418,18,419.,Adam Sandler,/name/nm0001191,https://www.imdb.com/name/nm0001191,https://en.wikipedia.org/wiki/Adam_Sandler
419,19,420.,Daniel Radcliffe,/name/nm0705356,https://www.imdb.com/name/nm0705356,https://en.wikipedia.org/wiki/Daniel_Radcliffe
420,20,421.,Daniel Craig,/name/nm0185819,https://www.imdb.com/name/nm0185819,https://en.wikipedia.org/wiki/Daniel_Craig
421,21,422.,Henry Cavill,/name/nm0147147,https://www.imdb.com/name/nm0147147,https://en.wikipedia.org/wiki/Henry_Cavill
422,22,423.,Vin Diesel,/name/nm0004874,https://www.imdb.com/name/nm0004874,https://en.wikipedia.org/wiki/Vin_Diesel
423,23,424.,Ben Affleck,/name/nm0000255,https://www.imdb.com/name/nm0000255,https://en.wikipedia.org/wiki/Ben_Affleck
424,24,425.,Chris Pine,/name/nm1517976,https://www.imdb.com/name/nm1517976,https://en.wikipedia.org/wiki/Chris_Pine
425,25,426.,Olympia Dukakis,/name/nm0001156,https://www.imdb.com/name/nm0001156,https://en.wikipedia.org/wiki/Olympia_Dukakis
426,26,427.,Peggy Ashcroft,/name/nm0001919,https://www.imdb.com/name/nm0001919,https://en.wikipedia.org/wiki/Peggy_Ashcroft
427,27,428.,Linda Hunt,/name/nm0001373,https://www.imdb.com/name/nm0001373,https://en.wikipedia.org/wiki/Linda_Hunt
428,28,429.,Maureen Stapleton,/name/nm0822972,https://www.imdb.com/name/nm0822972,https://en.wikipedia.org/wiki/Maureen_Stapleton
429,29,430.,Mary Steenburgen,/name/nm0005460,https://www.imdb.com/name/nm0005460,https://en.wikipedia.org/wiki/Mary_Steenburgen
430,30,431.,Beatrice Straight,/name/nm0833152,https://www.imdb.com/name/nm0833152,https://en.wikipedia.org/wiki/Beatrice_Straight
431,31,432.,Vanessa Redgrave,/name/nm0000603,https://www.imdb.com/name/nm0000603,https://en.wikipedia.org/wiki/Vanessa_Redgrave
432,32,433.,Lee Grant,/name/nm0335519,https://www.imdb.com/name/nm0335519,https://en.wikipedia.org/wiki/Lee_Grant
433,33,434.,Eileen Heckart,/name/nm0373012,https://www.imdb.com/name/nm0373012,https://en.wikipedia.org/wiki/Eileen_Heckart
434,34,435.,Cloris Leachman,/name/nm0001458,https://www.imdb.com/name/nm0001458,https://en.wikipedia.org/wiki/Cloris_Leachman
435,35,436.,Ruth Gordon,/name/nm0002106,https://www.imdb.com/name/nm0002106,https://en.wikipedia.org/wiki/Ruth_Gordon
436,36,437.,Estelle Parsons,/name/nm0663820,https://www.imdb.com/name/nm0663820,https://en.wikipedia.org/wiki/Estelle_Parsons
437,37,438.,Sandy Dennis,/name/nm0006800,https://www.imdb.com/name/nm0006800,https://en.wikipedia.org/wiki/Sandy_Dennis
438,38,439.,Shelley Winters,/name/nm0001859,https://www.imdb.com/name/nm0001859,https://en.wikipedia.org/wiki/Shelley_Winters
439,39,440.,Maggie Gyllenhaal,/name/nm0350454,https://www.imdb.com/name/nm0350454,https://en.wikipedia.org/wiki/Maggie_Gyllenhaal
440,40,441.,Katie Holmes,/name/nm0005017,https://www.imdb.com/name/nm0005017,https://en.wikipedia.org/wiki/Katie_Holmes
441,41,442.,Patty Duke,/name/nm0001157,https://www.imdb.com/name/nm0001157,https://en.wikipedia.org/wiki/Patty_Duke
442,42,443.,Rita Moreno,/name/nm0001549,https://www.imdb.com/name/nm0001549,https://en.wikipedia.org/wiki/Rita_Moreno
443,43,444.,Wendy Hiller,/name/nm0384908,https://www.imdb.com/name/nm0384908,https://en.wikipedia.org/wiki/Wendy_Hiller
444,44,445.,Miyoshi Umeki,/name/nm0880855,https://www.imdb.com/name/nm0880855,https://en.wikipedia.org/wiki/Miyoshi_Umeki
445,45,446.,Dorothy Malone,/name/nm0540416,https://www.imdb.com/name/nm0540416,https://en.wikipedia.org/wiki/Dorothy_Malone
446,46,447.,Jo Van Fleet,/name/nm0886888,https://www.imdb.com/name/nm0886888,https://en.wikipedia.org/wiki/Jo_Van_Fleet
447,47,448.,Eva Marie Saint,/name/nm0001693,https://www.imdb.com/name/nm0001693,https://en.wikipedia.org/wiki/Eva_Marie_Saint
448,48,449.,Gloria Grahame,/name/nm0002108,https://www.imdb.com/name/nm0002108,https://en.wikipedia.org/wiki/Gloria_Grahame
449,49,450.,Kim Hunter,/name/nm0001375,https://www.imdb.com/name/nm0001375,https://en.wikipedia.org/wiki/Kim_Hunter
450,50,451.,Lee J. Cobb,/name/nm0002011,https://www.imdb.com/name/nm0002011,https://en.wikipedia.org/wiki/Lee_J._Cobb
451,51,452.,Andrew Garfield,/name/nm1940449,https://www.imdb.com/name/nm1940449,https://en.wikipedia.org/wiki/Andrew_Garfield
452,52,453.,John Cazale,/name/nm0001030,https://www.imdb.com/name/nm0001030,https://en.wikipedia.org/wiki/John_Cazale
453,53,454.,Jeremy Renner,/name/nm0719637,https://www.imdb.com/name/nm0719637,https://en.wikipedia.org/wiki/Jeremy_Renner
454,54,455.,Steve Carell,/name/nm0136797,https://www.imdb.com/name/nm0136797,https://en.wikipedia.org/wiki/Steve_Carell
455,55,456.,Jean Dujardin,/name/nm0241121,https://www.imdb.com/name/nm0241121,https://en.wikipedia.org/wiki/Jean_Dujardin
456,56,457.,Chris Evans,/name/nm0262635,https://www.imdb.com/name/nm0262635,https://en.wikipedia.org/wiki/Chris_Evans
457,57,458.,James Franco,/name/nm0290556,https://www.imdb.com/name/nm0290556,https://en.wikipedia.org/wiki/James_Franco
458,58,459.,Zach Galifianakis,/name/nm0302108,https://www.imdb.com/name/nm0302108,https://en.wikipedia.org/wiki/Zach_Galifianakis
459,59,460.,Will Ferrell,/name/nm0002071,https://www.imdb.com/name/nm0002071,https://en.wikipedia.org/wiki/Will_Ferrell
460,60,461.,Shia LaBeouf,/name/nm0479471,https://www.imdb.com/name/nm0479471,https://en.wikipedia.org/wiki/Shia_LaBeouf
461,61,462.,Seth Rogen,/name/nm0736622,https://www.imdb.com/name/nm0736622,https://en.wikipedia.org/wiki/Seth_Rogen
462,62,463.,Joseph Gordon-Levitt,/name/nm0330687,https://www.imdb.com/name/nm0330687,https://en.wikipedia.org/wiki/Joseph_Gordon-Levitt
463,63,464.,Ryan Reynolds,/name/nm0005351,https://www.imdb.com/name/nm0005351,https://en.wikipedia.org/wiki/Ryan_Reynolds
